Subject_number,participant,OS,frameRate,trialNumber,Pair_type,Pass,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,similarity,response_time
1,31515,Win32,54.74352658,154,0,2,131,5,5,2271,2163,absent_patch/patch0002271.jpg,absent_patch/patch0002163.jpg,7,121.8706
1,31515,Win32,54.74352658,155,0,2,131,5,5,2367,2163,absent_patch/patch0002367.jpg,absent_patch/patch0002163.jpg,5,126.503
1,31515,Win32,54.74352658,156,0,2,131,5,5,2079,1995,absent_patch/patch0002079.jpg,absent_patch/patch0001995.jpg,2,129.7833
1,31515,Win32,54.74352658,157,0,2,131,5,5,2151,2079,absent_patch/patch0002151.jpg,absent_patch/patch0002079.jpg,3,133.5234
1,31515,Win32,54.74352658,158,1,2,131,5,5,1,2211,present_patch/cong_131_3_a.jpg,absent_patch/patch0002211.jpg,5,136.5324
1,31515,Win32,54.74352658,159,0,2,131,5,5,2247,2151,absent_patch/patch0002247.jpg,absent_patch/patch0002151.jpg,4,140.4124
1,31515,Win32,54.74352658,160,0,2,131,5,5,2043,2247,absent_patch/patch0002043.jpg,absent_patch/patch0002247.jpg,2,146.5306
1,31515,Win32,54.74352658,161,0,2,131,5,5,1995,2211,absent_patch/patch0001995.jpg,absent_patch/patch0002211.jpg,2,149.6297
1,31515,Win32,54.74352658,162,0,2,131,5,5,2175,2211,absent_patch/patch0002175.jpg,absent_patch/patch0002211.jpg,7,152.7789
1,31515,Win32,54.74352658,163,1,2,131,5,5,2223,1,absent_patch/patch0002223.jpg,present_patch/cong_131_3_a.jpg,5,157.587
1,31515,Win32,54.74352658,164,0,2,131,5,5,2175,2175,absent_patch/patch0002175.jpg,absent_patch/patch0002175.jpg,0,160.7103
1,31515,Win32,54.74352658,165,0,2,131,5,5,2043,2223,absent_patch/patch0002043.jpg,absent_patch/patch0002223.jpg,1,163.7447
1,31515,Win32,54.74352658,166,0,2,131,5,5,2271,2247,absent_patch/patch0002271.jpg,absent_patch/patch0002247.jpg,7,167.1247
1,31515,Win32,54.74352658,167,1,2,131,5,5,1,2043,present_patch/cong_131_3_a.jpg,absent_patch/patch0002043.jpg,4,173.4919
1,31515,Win32,54.74352658,168,0,2,131,5,5,2367,2211,absent_patch/patch0002367.jpg,absent_patch/patch0002211.jpg,3,176.9787
1,31515,Win32,54.74352658,169,0,2,131,5,5,2163,2079,absent_patch/patch0002163.jpg,absent_patch/patch0002079.jpg,2,180.0892
1,31515,Win32,54.74352658,170,0,2,131,5,5,2031,1995,absent_patch/patch0002031.jpg,absent_patch/patch0001995.jpg,6,183.3655
1,31515,Win32,54.74352658,171,0,2,131,5,5,2223,1995,absent_patch/patch0002223.jpg,absent_patch/patch0001995.jpg,5,188.1484
1,31515,Win32,54.74352658,172,0,2,131,5,5,2283,2247,absent_patch/patch0002283.jpg,absent_patch/patch0002247.jpg,5,192.0526
1,31515,Win32,54.74352658,173,0,2,131,5,5,1995,2247,absent_patch/patch0001995.jpg,absent_patch/patch0002247.jpg,7,195.2975
